Category,Size_in_Mb,Content Rating,Ad Supported,In App Purchases,Transformed_Rating
2.3,16.0,2.2,1,1,5
1.9,12.0,2.2,0,1,0
1.4,11.0,2.2,0,0,4
2.2,38.0,2.2,1,0,0
2.5,37.0,2.2,0,0,4
1.3,8.9,2.2,1,0,0
2.3,5.5,2.2,1,0,0
1.5,10.0,2.2,0,0,4
1.5,76.0,2.2,0,0,3
2.5,5.8,2.2,1,1,0
1.9,51.0,2.3,1,0,3
2.3,11.0,2.2,0,0,0
2.5,8.1,2.2,1,0,0
2.3,5.0,2.2,1,1,4
2.5,8.2,2.2,1,0,5
1.9,6.9,2.2,0,0,4
1.7,78.0,2.2,1,0,0
2.3,22.0,2.2,0,0,0
1.7,1.4,2.2,0,0,5
2.5,2.6,2.2,0,0,0
2.5,24.0,2.2,1,0,4
2.2,61.0,2.2,1,1,0
2.3,11.0,2.2,1,0,4
1.8,46.0,2.2,0,0,2
2.9,55.0,2.2,1,0,0
2.4,11.0,2.5,1,0,5
2.5,13.0,2.2,0,1,0
2.5,78.0,2.2,1,0,4
2.5,23.0,2.2,1,1,5
2.4,4.0,2.2,0,0,5
2.5,7.6,2.2,1,0,0
2.4,13.0,2.2,1,0,0
1.9,4.1,2.2,1,0,5
2.5,2.5,2.2,0,0,4
1.9,47.0,2.2,1,0,0
2.2,53.0,2.3,0,0,5
1.7,16.0,2.2,0,0,0
2.7,82.0,2.3,1,0,4
3.2,100.0,2.7,1,1,4
2.4,3.2,2.2,0,0,5
2.3,7.1,2.2,1,0,4
2.2,3.9,2.2,0,0,0
1.5,2.9,2.2,0,0,0
2.4,2.4,2.2,1,0,0
2.4,4.1,2.3,1,0,5
2.7,12.0,2.2,1,0,5
1.3,12.0,2.2,1,1,2
1.9,36.0,2.2,0,0,0
3.1,3.7,2.2,0,0,4
1.5,9.3,2.2,0,0,0
2.4,43.0,2.2,0,0,0
2.2,3.5,2.2,0,0,5
2.1,5.0,2.2,0,0,5
2.2,37.0,2.2,0,0,5
2.8,4.6,2.2,1,0,0
2.5,36.0,2.2,0,0,0
2.5,2.8,2.2,1,0,0
1.9,43.0,2.2,0,0,5
2.4,2.7,2.3,0,0,5
2.5,15.0,2.2,1,0,0
2.4,3.5,2.2,0,0,4
2.2,14.0,2.3,1,0,0
1.9,7.1,2.2,1,0,4
2.4,10.0,2.2,1,0,0
2.8,45.0,2.2,1,0,3
2.9,31.0,2.2,1,0,4
1.4,22.0,2.2,0,0,3
2.3,4.9,2.3,1,0,0
2.3,5.5,2.2,0,0,0
2.2,20.0,2.2,0,0,0
2.3,10.0,2.3,1,0,5
2.5,98.0,2.2,0,0,0
2.0,5.0,2.2,1,0,4
1.3,16.0,2.2,0,0,0
1.7,6.3,2.2,0,0,3
2.5,78.0,2.2,0,0,5
2.3,4.4,2.2,0,0,4
2.1,0.810546875,2.2,0,0,5
2.5,24.0,2.2,0,0,4
1.3,17.0,2.2,0,0,0
1.5,12.0,2.2,0,0,0
2.5,16.0,2.2,1,0,0
1.5,20.0,2.2,0,0,0
2.4,14.0,2.2,0,1,0
2.1,12.0,2.3,0,0,0
1.5,48.0,2.2,0,0,0
2.3,9.2,2.2,0,0,4
1.4,6.1,2.2,0,0,0
2.7,31.0,2.2,0,0,0
1.9,32.0,2.2,1,0,4
2.5,10.0,2.2,0,0,5
1.7,149.0,2.2,0,0,0
2.9,2.7,2.2,0,0,4
2.3,8.1,2.2,0,0,4
1.8,27.0,2.2,0,0,0
1.9,5.3,2.2,1,0,4
2.3,9.1,2.2,0,0,3
2.8,3.4,2.2,1,0,5
1.5,8.3,2.2,0,0,4
2.0,4.1,2.2,0,0,0
2.4,10.0,2.2,1,0,0
1.5,5.1,2.2,0,0,0
1.9,70.0,2.2,0,0,0
2.2,31.0,2.3,0,0,0
2.4,17.0,2.2,1,0,5
2.4,44.0,2.2,1,0,4
2.7,17.0,2.2,0,0,0
1.3,17.0,2.2,0,0,0
2.4,7.3,2.2,1,0,0
3.1,21.0,2.2,0,0,4
2.4,19.0,2.2,0,0,0
2.5,3.2,2.2,0,0,5
2.5,12.0,2.2,1,0,5
2.5,3.7,2.2,1,0,0
2.8,17.0,2.2,1,0,0
2.5,60.0,2.2,0,0,4
1.5,6.1,2.2,0,0,3
1.9,30.0,2.2,0,0,0
2.8,9.3,2.2,1,0,0
2.3,37.0,2.2,1,1,4
1.9,81.0,2.2,0,0,0
1.8,13.0,2.2,0,0,3
2.3,5.1,2.2,0,0,4
1.9,17.0,2.2,0,0,0
2.4,14.0,2.2,0,0,0
2.2,6.4,2.2,0,0,5
2.6,2.8,2.2,0,0,3
2.4,3.4,2.2,1,0,5
2.3,3.0,2.2,0,0,4
1.5,4.1,2.2,0,0,0
2.3,9.9,2.2,0,0,0
2.5,7.0,2.2,1,0,0
2.8,19.0,2.2,1,0,5
1.3,6.4,2.2,1,0,0
2.3,6.8,2.2,0,0,0
2.5,18.0,2.2,1,0,0
2.3,9.0,2.2,0,0,5
2.9,58.0,2.2,1,0,4
2.5,3.1,2.2,1,0,0
2.3,22.0,2.2,1,0,4
1.9,9.9,2.3,0,0,0
2.5,23.0,2.2,1,0,4
2.4,3.5,2.2,1,1,4
2.2,39.0,2.2,0,0,5
2.2,5.6,2.2,1,0,4
2.4,8.3,2.2,0,0,3
1.8,33.0,2.2,0,0,0
2.5,4.2,2.2,1,0,0
1.9,3.5,2.2,0,0,0
2.9,161.0,2.2,1,0,0
2.4,9.2,2.2,0,0,0
2.8,6.9,2.2,1,1,3
1.7,149.0,2.2,0,0,0
1.3,7.8,2.2,0,0,0
2.3,44.0,2.2,1,0,0
2.1,11.0,2.2,1,0,0
2.3,31.0,2.2,0,0,0
1.3,8.2,2.2,0,0,3
2.3,47.0,2.2,0,0,4
2.2,23.0,2.2,0,0,0
2.4,8.1,2.2,0,0,0
1.7,3.4,2.2,0,0,0
2.4,2.6,2.2,1,0,4
2.2,38.0,2.2,0,0,0
2.5,41.0,2.2,1,0,0
2.9,46.0,2.2,1,1,4
2.7,40.0,2.3,1,1,4
2.2,13.0,2.2,0,0,0
2.0,7.1,2.2,1,0,4
2.3,25.0,2.2,1,0,4
1.9,4.1,2.2,1,0,0
2.0,7.9,2.2,0,0,4
2.8,16.0,2.2,0,0,4
2.5,6.2,2.2,0,0,4
2.0,0.380859375,2.2,0,0,4
2.3,27.0,2.2,0,0,3
1.9,4.2,2.2,0,0,0
1.9,9.5,2.2,0,0,4
2.8,15.0,2.2,1,0,0
2.5,4.9,2.2,1,0,0
2.3,4.7,2.2,0,0,0
1.9,4.5,2.2,0,0,5
2.5,27.0,2.2,1,0,0
2.2,13.0,2.2,0,0,0
1.7,29.0,2.2,0,0,0
2.1,54.0,2.2,0,0,3
2.3,1.3,2.2,0,0,0
1.9,9.0,2.2,1,0,0
2.4,11.0,2.2,1,1,4
2.8,7.1,2.2,1,0,0
1.9,22.0,2.2,0,0,3
1.5,3.2,2.2,0,0,0
2.4,69.0,2.3,1,0,0
1.9,3.8,2.2,0,0,0
2.4,9.1,2.3,1,0,0
2.0,13.0,2.2,0,1,4
1.9,4.9,2.2,1,0,4
2.8,14.0,2.2,1,0,0
2.0,4.9,2.2,0,0,0
2.2,9.9,2.2,1,1,0
1.9,12.0,2.2,0,0,5
2.4,4.9,2.2,1,0,5
2.2,6.5,2.2,1,0,3
1.9,62.0,2.2,1,0,0
2.8,3.8,2.3,1,0,0
2.8,16.0,2.2,1,0,5
2.5,11.0,2.2,1,0,4
2.5,28.0,2.5,1,0,0
2.3,6.5,2.2,0,0,5
2.4,6.4,2.2,1,0,0
2.4,81.0,2.2,1,0,4
1.7,6.0,2.2,0,0,3
1.9,4.2,2.2,1,0,5
2.7,29.0,2.2,1,1,4
2.2,4.5,2.3,1,0,4
2.1,5.5,2.3,1,0,4
1.5,4.0,2.2,0,0,0
2.6,12.0,2.5,1,0,5
1.9,2.9,2.2,1,0,4
1.9,5.9,2.2,1,0,0
1.9,3.8,2.2,1,0,4
2.5,6.7,2.2,1,0,5
1.6,5.8,2.2,0,0,0
2.4,3.2,2.2,1,0,5
2.7,23.0,2.2,1,0,0
1.9,11.0,2.2,0,0,0
2.7,22.0,2.2,1,0,5
3.1,8.9,2.2,1,1,4
3.0,40.0,2.2,1,1,3
2.2,3.3,2.2,0,0,0
2.3,5.5,2.2,1,0,2
2.3,33.0,2.2,0,0,4
1.9,2.9,2.2,0,0,3
2.5,5.9,2.2,1,0,5
2.8,2.5,2.2,0,0,5
2.5,54.0,2.5,0,1,5
2.5,10.0,2.2,1,0,0
2.3,9.5,2.3,1,0,0
1.5,38.0,2.2,0,0,0
1.5,14.0,2.2,0,0,0
2.5,39.0,2.5,0,1,3
1.9,2.2,2.2,0,0,4
1.9,5.0,2.3,1,0,4
2.4,2.9,2.2,0,0,0
1.9,11.0,2.2,0,0,3
2.2,96.0,2.2,1,0,3
2.4,7.3,2.2,1,0,4
1.5,35.0,2.3,0,0,0
1.3,1.1,2.2,0,0,0
1.5,8.2,2.2,0,0,0
2.5,1.5,2.2,1,0,0
1.3,8.7,2.5,0,0,2
2.2,90.0,2.2,1,0,0
1.5,1.2,2.2,0,0,0
1.9,6.0,2.2,1,0,0
2.3,22.0,2.2,0,0,0
2.4,27.0,2.2,0,0,0
1.7,32.0,2.2,0,0,3
1.9,44.0,2.5,0,1,4
1.9,12.0,2.2,1,0,4
1.9,22.0,2.2,0,0,0
2.4,5.7,2.2,1,0,0
1.4,8.8,2.2,0,1,4
1.5,43.0,2.2,0,0,4
2.7,24.0,2.2,1,1,0
2.5,24.0,2.3,1,0,4
2.5,7.2,2.2,1,0,0
2.4,1.7,2.2,1,0,0
2.3,1.9,2.7,0,0,4
2.3,13.0,2.2,1,0,4
1.5,0.76171875,2.2,0,0,0
2.5,5.6,2.2,1,0,5
2.4,5.7,2.2,0,0,3
2.0,2.2,2.2,0,0,5
2.7,7.3,2.2,1,0,0
1.5,7.1,2.2,0,0,0
2.0,23.0,2.5,1,0,5
2.2,33.0,2.2,0,0,3
1.3,16.0,2.2,0,0,0
1.9,16.0,2.2,0,0,0
1.3,7.2,2.2,0,0,4
2.2,6.4,2.2,1,0,0
2.8,3.3,2.2,1,0,5
3.4,42.0,2.5,1,0,4
1.4,31.0,2.2,0,0,0
2.8,24.0,2.2,1,0,5
2.2,0.4833984375,2.2,0,0,0
2.5,3.6,2.2,1,0,0
2.2,3.3,2.2,1,0,4
